state,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,candidate,support
Utah,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,NA,Romney,68
Utah,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,NA,Other,4
Utah,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,NA,Undecided,2
Utah,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,Obama,31
Utah,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,Romney,63
Utah,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,Other,NA
Utah,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,Undecided,6
Maryland,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,NA,Obama,59
Maryland,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,NA,Romney,37
Maryland,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,NA,Other,2
Maryland,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,NA,Undecided,2
Maryland,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,NA,Obama,55
Maryland,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,NA,Romney,36
Maryland,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,NA,Other,NA
Maryland,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,NA,Undecided,8
Maryland,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,NA,Obama,60
Maryland,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,NA,Romney,36
Maryland,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,NA,Other,2
Maryland,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,NA,Undecided,2
Maryland,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,NA,Obama,58
Maryland,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,NA,Romney,37
Maryland,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,NA,Other,2
Maryland,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,NA,Undecided,4
Maryland,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,NA,Obama,57
Maryland,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,NA,Romney,34
Maryland,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,NA,Other,NA
Maryland,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,NA,Undecided,10
Maryland,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,NA,Obama,55
Maryland,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,NA,Romney,36
Maryland,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,NA,Other,1
Maryland,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,NA,Undecided,8
Maryland,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,NA,Obama,57
Maryland,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,NA,Romney,37
Maryland,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,NA,Other,3
Maryland,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,NA,Undecided,3
Maryland,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,Obama,58
Maryland,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,Romney,35
Maryland,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,Other,NA
Maryland,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,Undecided,6
Oklahoma,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,NA,Obama,33
Oklahoma,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,NA,Romney,58
Oklahoma,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,NA,Other,NA
Oklahoma,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,NA,Undecided,8
Oklahoma,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,NA,Obama,29
Oklahoma,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,NA,Romney,58
Oklahoma,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,NA,Other,NA
Oklahoma,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,NA,Undecided,13
Oklahoma,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,NA,Obama,27
Oklahoma,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,NA,Romney,62
Oklahoma,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,NA,Other,NA
